['v', 'весело:', 'spro', 'v']
['весело:', 'spro', 'v', 's']
['spro', 'v', 's', 'spro']
['v', 's', 'spro', 'v']
['s', 'spro', 'v', 'adv']
['spro', 'v', 'adv', 'adv']
['v', 'adv', 'adv', 'pr']
['adv', 'adv', 'pr', 's']
['adv', 'pr', 's', 'pr']
['pr', 's', 'pr', 'a']
['s', 'pr', 'a', 's']
['pr', 'a', 's', 'v']
['a', 's', 'v', 'apro']
['s', 'v', 'apro', 's']
['v', 'apro', 's', 's']
['apro', 's', 's', 's']
['s', 's', 's', 's']
['s', 's', 's', 'conj']
['s', 's', 'conj', 'adv']
['s', 'conj', 'adv', 'apro']
['conj', 'adv', 'apro', 's']
['adv', 'apro', 's', 'a']
['apro', 's', 'a', 'pr']
['s', 'a', 'pr', 'spro']
['a', 'pr', 'spro', 'pr']
['pr', 'spro', 'pr', 's']
['spro', 'pr', 's', 'spro']
['pr', 's', 'spro', 'v']
['s', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 's']
['spro', 'pr', 's', 'apro']
['pr', 's', 'apro', 'a']
['s', 'apro', 'a', 's']
['apro', 'a', 's', 'spro']
['a', 's', 'spro', 'v']
['s', 'spro', 'v', 'conj']
['spro', 'v', 'conj', 'v']
['v', 'conj', 'v', 'spro']
['conj', 'v', 'spro', 's']
['v', 'spro', 's', 'spro']
['spro', 's', 'spro', 'v']
['s', 'spro', 'v', 'pr']
['spro', 'v', 'pr', 's']
['v', 'pr', 's', 's']
['pr', 's', 's', 'v']
['s', 's', 'v', 'pr']
['s', 'v', 'pr', 's']
['v', 'pr', 's', 'spro']
['pr', 's', 'spro', 'v']
['s', 'spro', 'v', 'conj']
['spro', 'v', 'conj', 'pr']
['v', 'conj', 'pr', 'apro']
['conj', 'pr', 'apro', 'part']
['pr', 'apro', 'part', 's']
['apro', 'part', 's', 'v']
['part', 's', 'v', 'spro']
['s', 'v', 'spro', 'v']
['v', 'spro', 'v', 's']
['spro', 'v', 's', 'v']
['v', 's', 'v', 'spro']
['s', 'v', 'spro', 's']
['v', 'spro', 's', 'conj']
['spro', 's', 'conj', 'spro']
['s', 'conj', 'spro', 'pr']
['conj', 'spro', 'pr', 's']
['spro', 'pr', 's', 's']
['pr', 's', 's', 'v']
['s', 's', 'v', 'a']
['s', 'v', 'a', 's']
['v', 'a', 's', '«пять']
['a', 's', '«пять', 's']
['s', '«пять', 's', 'spro']
['«пять', 's', 'spro', 'adv']
['s', 'spro', 'adv', 'spro']
['spro', 'adv', 'spro', 'v']
